ID,Variable 1,Dependency,Variable 2
1,HvyAlcoholConsump,->,PhysHlth
2,Sex,->,Diabetes_binary
3,Sex,->,HighBP
4,Sex,->,Income
5,Age,->,Income
6,Age,->,GenHlth
7,Age,->,Diabetes_binary
8,Age,->,BMI
9,Age,->,PhysActivity
10,Age,->,DiffWalk
11,Age,->,PhysHlth
12,Age,->,HighBP
13,Income,->,GenHlth
14,Income,->,MentHlth
15,Income,->,PhysHlth
16,Income,->,AnyHealthcare
17,Income,->,NoDocbcCost
18,Income,->,CholCheck
19,HvyAlcoholConsump,->,MentHlth
20,HvyAlcoholConsump,->,GenHlth
21,HvyAlcoholConsump,->,HighBP
22,HvyAlcoholConsump,->,HeartDiseaseorAttack
23,HvyAlcoholConsump,->,HighChol
24,HvyAlcoholConsump,->,Stroke
25,AnyHealthcare,->,NoDocbcCost
26,AnyHealthcare,->,CholCheck
27,BMI,->,Diabetes_binary
28,BMI,->,HighBP
29,BMI,->,HeartDiseaseorAttack
30,HighBP,->,HeartDiseaseorAttack
31,HighBP,->,Stroke
32,HighBP,->,Diabetes_binary
33,HighChol,->,HeartDiseaseorAttack
34,HighChol,->,Diabetes_binary
36,HeartDiseaseorAttack,->,Stroke
37,GenHlth,->,Diabetes_binary
38,GenHlth,->,MentHlth
39,Diabetes_binary,->,DiffWalk
40,Fruits,->,GenHlth
41,Veggies,->,GenHlth
42,Education,->,Income
43,Education,->,GenHlth
44,Education,->,Diabetes_binary
45,Smoker,->,HeartDiseaseorAttack
46,PhysActivity,->,Diabetes_binary
47,PhysHlth,->,MentHlth
48,PhysHlth,->,HighBP
49,PhysHlth,->,HighChol
50,PhysActivity,->,HighChol
51,PhysActivity,->,HighBP
52,PhysHlth,->,Diabetes_binary
53,Smoker,->,Diabetes_binary
54,AnyHealthcare,->,Diabetes_binary
55,MentHlth,->,Diabetes_binary
56,Income,->,PhysActivity
